title,year,certificate,duration,"genre",rating,"description",stars,votes
Cobra Kai,2018,TV-14,30,"Action, Comedy, Drama",8.5,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","[Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña]",177031
The Crown,2016,TV-MA,58,"Biography, Drama, History",8.7,"Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","[Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith]",199885
Better Call Saul,2015-2022,TV-MA,46,"Crime, Drama",8.9,"The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.","[Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian]",501384
Devil in Ohio,2022,TV-MA,356,"Drama, Horror, Mystery",5.9,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.","[Emily Deschanel,Sam Jaeger,Gerardo Celasco,Madeleine Arthur]",9773
Cyberpunk: Edgerunners,2022,TV-MA,24,"Animation, Action, Adventure",8.6,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.","[Zach Aguilar,Kenichiro Ohashi,Emi Lo,Aoi Yûki]",15413
The Sandman,2022,TV-MA,45,"Drama, Fantasy, Horror",7.8,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.","[Tom Sturridge,Boyd Holbrook,Patton Oswalt,Vivienne Acheampong]",116358
Rick and Morty,2013,TV-MA,23,"Animation, Adventure, Comedy",9.2,"An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","[Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke]",502160
Breaking Bad,2008-2013,TV-MA,49,"Crime, Drama, Thriller",9.5,"A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","[Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt]",1831340
The Imperfects,2022,TV-MA,45,"Action, Adventure, Drama",6.3,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.","[Morgan Taylor Campbell,Italia Ricci,Rhianna Jagpal,Iñaki Godoy]",3123
Blonde,2022,NC-17,166,"Biography, Drama, Mystery",6.2,"A fictionalized chronicle of the inner life of Marilyn Monroe.","[Andrew Dominik,Ana de Armas,Lucy DeVito,Garret Dillahunt,Adrien Brody]",935
Stranger Things,2016,TV-14,51,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","[Millie Bobby Brown,Finn Wolfhard,Winona Ryder,Caleb McLaughlin]",1149889
End of the Road (II),2022,R,89,"Action, Crime, Drama",4.7,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious killer.","[Millicent Shelton,Queen Latifah,Ludacris,Mychala Lee,Shaun Dixon]",5122
The Walking Dead,2010-2022,TV-MA,44,"Drama, Horror, Thriller",8.1,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","[Andrew Lincoln,Norman Reedus,Melissa McBride,Lauren Cohan]",970060
Glass Onion: A Knives Out Mystery,2022,PG-13,139,"Crime, Drama, Mystery",8.1,"Famed Southern detective Benoit Blanc travels to Greece for his latest case.","[Rian Johnson,Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista]",547
Do Revenge,2022,TV-MA,118,"Comedy",6.4,"Drea and Eleanor agree to go after one another's bullies.","[Jennifer Kaytin Robinson,Camila Mendes,Maya Hawke,Austin Abrams,Rish Shah]",13457
I Came By,2022,TV-MA,110,"Thriller",6.1,"Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.","[Babak Anvari,Antonio Aakeel,Alicia Ambrose-Bayly,Percelle Ascott,Franc Ashman]",16230
No Limit,2022,TV-MA,118,"Drama, Romance, Sport",5.8,"Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.","[David M. Rosenthal,Camille Rowe,Sofiane Zermani,César Domboy,Laurent Fernandez]",1695
1899,2022,Not Rated,60,"Drama, History, Horror",9.6,"Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.","[Ben Ashenden,Aneurin Barnard,Emily Beecham,Anton Lesser]",853
Peaky Blinders,2013-2022,TV-MA,60,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","[Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory]",531058
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",8.8,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","[Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean]",1844055
Grey's Anatomy,2005,TV-14,41,"Drama, Romance",7.6,"A drama centered on the personal and professional lives of five surgical interns and their supervisors.","[Ellen Pompeo,Chandra Wilson,James Pickens Jr.,Justin Chambers]",303617
Supernatural,2005-2020,TV-14,44,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","[Jared Padalecki,Jensen Ackles,Jim Beaver,Misha Collins]",439597
American Horror Story,2011,TV-MA,60,"Drama, Horror, Sci-Fi",8,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.","[Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson]",312970
The Accidental Narco,2022,TV-MA,50,"Action, Biography, Crime",7.4,"A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.","[Ha Jung-woo,Hwang Jung-min,Park Hae-soo,Woo-jin Jo]",2056
NCIS,2003,TV-14,60,"Action, Crime, Drama",7.8,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","[David McCallum,Mark Harmon,Sean Murray,Pauley Perrette]",145895
Friends,1994-2004,TV-14,22,"Comedy, Romance",8.9,"Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","[Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc]",979424
Shameless,2011-2021,TV-MA,46,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","[Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White]",239541
Modern Family,2009-2020,TV-PG,22,"Comedy, Drama, Romance",8.5,"Three different but related families face trials and tribulations in their own uniquely comedic ways.","[Ed ONeill,Sofía Vergara,Julie Bowen,Ty Burrell]",423963
Ozark,2017-2022,TV-MA,60,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","[Jason Bateman,Laura Linney,Sofia Hublitz,Skylar Gaertner]",309552
Echoes,2022,TV-MA,326,"Drama, Mystery, Thriller",5.9,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos.","[Michelle Monaghan,Matt Bomer,Karen Robinson,Ali Stroker]",9380
The Gray Man,2022,PG-13,122,"Action, Thriller",6.5,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","[Anthony Russo,Joe Russo,Ryan Gosling,Chris Evans,Ana de Armas,Billy Bob Thornton]",172136
Me Time,2022,R,101,"Comedy",5,"Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.","[John Hamburg,Kevin Hart,Mark Wahlberg,Regina Hall,Che Tafari]",26092
Suits,2011-2019,TV-14,44,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","[Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Rafferty]",405863
Vikings,2013-2020,TV-MA,44,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","[Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst]",524630
The Witcher,2019,TV-MA,60,"Action, Adventure, Drama",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","[Henry Cavill,Freya Allan,Anya Chalotra,Mimi Ndiweni]",481837
The Blacklist,2013,TV-14,43,"Crime, Drama, Mystery",8,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","[James Spader,Megan Boone,Diego Klattenhoff,Ryan Eggold]",245591
Seinfeld,1989-1998,TV-PG,22,"Comedy",8.9,"The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.","[Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander]",314089
Lucifer,2016-2021,TV-14,42,"Crime, Drama, Fantasy",8.1,"Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","[Tom Ellis,Lauren German,Kevin Alejandro,D.B. Woodside]",318928
The Umbrella Academy,2019-2023,TV-14,60,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","[Elliot Page,Tom Hopper,David Castañeda,Emmy Raver-Lampman]",243344
The Last Kingdom,2015-2022,TV-MA,60,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","[Alexander Dreymon,Eliza Butterworth,Arnas Fedaravicius,Mark Rowley]",136936
Partner Track,2022,TV-MA,60,"Drama",6.8,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.","[Arden Cho,Alexandra Turshen,Bradley Gibson,Dominic Sherwood]",3840
Love in the Villa,2022,TV-14,114,"Comedy, Romance",5.3,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.","[Mark Steven Johnson,Kat Graham,Tom Hopper,Raymond Ablack,Laura Hopper]",7048
Black Mirror,2011-2019,TV-MA,60,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","[Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones]",535782
Brooklyn Nine-Nine,2013-2021,TV-14,22,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","[Andy Samberg,Stephanie Beatriz,Terry Crews,Melissa Fumero]",309004
Squid,2021,TV-MA,55,"Action, Drama, Mystery",8,"Hundreds of cash-strapped players accept a strange invitation to compete in children'ss. Inside, a tempting prize awaits with deadly high stakes. A survival that has a whopping 45.6 billion-won prize at stake.","[Lee Jung-jae,Park Hae-soo,Hoyeon,Oh Yeong-su]",435160
Gilmore Girls,2000-2007,TV-PG,44,"Comedy, Drama",8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","[Lauren Graham,Alexis Bledel,Keiko Agena,Scott Patterson]",124087
Outlander,2014,TV-MA,60,"Drama, Fantasy, Romance",8.4,"An English combat nurse from 1945 is mysteriously swept back in time to 1743.","[Caitríona Balfe,Sam Heughan,Sophie Skelton,Richard Rankin]",158268
Ófærð,2015,TV-14,60,"Crime, Drama, Mystery",8,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.","[Ólafur Darri Ólafsson,Ilmur Kristjánsdóttir,Björn Hlynur Haraldsson,Guðjón Pedersen]",21641
Never Have I Ever,2020-2023,TV-14,30,"Comedy, Drama",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","[Maitreyi Ramakrishnan,Poorna Jagannathan,Darren Barnet,John McEnroe]",56216
Attack on Titan,2013-2023,TV-MA,24,"Animation, Action, Adventure",9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","[Josh Grelle,Yûki Kaji,Yui Ishikawa,Marina Inoue]",363297
Manifest,2018,TV-14,43,"Drama, Mystery, Sci-Fi",7.1,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.","[Melissa Roxburgh,Josh Dallas,J.R. Ramirez,Luna Blaise]",59167
Locke & Key,2020-2022,TV-14,48,"Drama, Fantasy, Horror",7.3,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","[Darby Stanchfield,Connor Jessup,Emilia Jones,Jackson Robert Scott]",84847
Day Shift,2022,R,113,"Action, Comedy, Fantasy",6.1,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.","[J.J. Perry,Jamie Foxx,Dave Franco,Natasha Liu Bordizzo,Meagan Good]",62931
Dark,2017-2020,TV-MA,60,"Crime, Drama, Mystery",8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","[Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne]",371981
Sex Education,2019,TV-MA,45,"Comedy, Drama",8.4,"A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.","[Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Emma Mackey]",273671
The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",9,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","[Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom]",1819157
The Vampire Diaries,2009-2017,TV-14,43,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","[Nina Dobrev,Paul Wesley,Ian Somerhalder,Kat Graham]",318383
Virgin River,2019,TV-14,44,"Drama, Romance",7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","[Martin Henderson,Tim Matheson,Alexandra Breckenridge,Colin Lawrence]",41276
Family Guy,1999,TV-MA,22,"Animation, Comedy",8.2,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","[Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis]",334757
Fargo,2014,TV-MA,53,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","[Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks]",369918
Animal Kingdom,2016-2022,TV-MA,60,"Crime, Drama",8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","[Shawn Hatosy,Ben Robson,Jake Weary,Finn Cole]",37944
Diario de un Gigoló,2022,TV-MA,50,"Drama",6.3,"A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.","[Jesús Castro,Victoria White,Fabiola Campomanes,Francisco Denis]",538
How I Met Your Mother,2005-2014,TV-14,22,"Comedy, Romance",8.3,"A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","[Josh Radnor,Jason Segel,Cobie Smulders,Neil Patrick Harris]",676121
Heartbreak High,2022,TV-MA,50,"Drama, Romance",7.6,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak.","[Ayesha Madon,James Majoos,Chloe Hayden,Asher Yasbincek]",1502
Community,2009-2015,TV-14,22,"Comedy",8.5,"A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","[Joel McHale,Danny Pudi,Donald Glover,Chevy Chase]",261138
Daredevil,2015-2018,TV-MA,54,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","[Charlie Cox,Vincent DOnofrio,Deborah Ann Woll,Elden Henson]",434141
Blue Bloods,2010,TV-14,43,"Crime, Drama, Mystery",7.7,"Revolves around a family of New York cops.","[Donnie Wahlberg,Bridget Moynahan,Will Estes,Len Cariou]",40037
Bee and PuppyCat,2013,TV-PG,7,"Animation, Short, Action",8.2,"Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and Fishbowl Space.","[Allyn Rachel,Alexander James Rodriguez,Kent Osborne,Ashly Burch]",2385
Loving Adults,2022,TV-MA,104,"Crime, Drama, Thriller",6.5,"Follows a couple who appear to be living the perfect life after their son is declared healthy following a long-term illness.","[Barbara Topsøe-Rothenborg,Dar Salim,Sonja Richter,Sus Wilkins,Morten Burian]",5861
Schitt's Creek,2015-2020,TV-14,22,"Comedy",8.5,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","[Eugene Levy,Catherine OHara,Dan Levy,Annie Murphy]",118638
Sing 2,2021,PG,110,"Animation, Adventure, Comedy",7.4,"Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.","[Garth Jennings,Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Tori Kelly]",65399
RRR,2022,Not Rated,187,"Action, Drama",8,"A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.","[S.S. Rajamouli,N.T. Rama Rao Jr.,Ram Charan Teja,Ajay Devgn,Alia Bhatt]",107203
Arcane,2021,TV-14,41,"Animation, Action, Adventure",9,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","[Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Douglas]",196697
The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","[Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom]",1642708
All Quiet on the Western Front,2022,R,147,"Action, Drama, War",8.3,"A young German soldier's terrifying experiences and distress on the western front during World War I.","[Edward Berger,Daniel Brühl,Albrecht Schuch,Sebastian Hülk,Anton von Lucke]",199
American Psycho,2000,R,102,"Crime, Drama, Horror",7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","[Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage]",598117
The Hobbit: An Unexpected Journey,2012,PG-13,169,"Adventure, Fantasy",7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","[Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis]",820021
Kleo,2022,TV-MA,44,"Action, Crime, Drama",7.5,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.","[Jella Haase,Dimitrij Schaad,Julius Feldmeier,Vincent Redetzki]",5517
Riverdale,2017,TV-14,45,"Crime, Drama, Mystery",6.6,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","[Lili Reinhart,Camila Mendes,Cole Sprouse,K.J. Apa]",143861
Sons of Anarchy,2008-2014,TV-MA,45,"Crime, Drama, Thriller",8.6,"A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","[Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates]",294616
Mad Men,2007-2015,TV-14,47,"Drama",8.7,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","[Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones]",237030
The Flash,2014-2023,TV-PG,43,"Action, Adventure, Drama",7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","[Grant Gustin,Candice Patton,Danielle Panabaker,Carlos Valdes]",344187
Archer,2009,TV-MA,22,"Animation, Action, Comedy",8.6,"Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.","[H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell]",153880
Dahmer - Monster: The Jeffrey Dahmer Story,2022,TV-MA,534,"Biography, Crime, Drama",8.5,"Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.","[Evan Peters,Richard Jenkins,Molly Ringwald,Niecy Nash]",5580
Mr. Robot,2015-2019,TV-MA,49,"Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","[Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström]",383470
That '70s Show,1998-2006,TV-14,22,"Comedy, Drama, Romance",8.1,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","[Topher Grace,Laura Prepon,Mila Kunis,Danny Masterson]",169768
You,2018,TV-MA,45,"Crime, Drama, Romance",7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","[Penn Badgley,Victoria Pedretti,Ambyr Childers,Elizabeth Lail]",234218
Look Both Ways,2022,TV-14,110,"Comedy, Drama, Romance",6.3,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.","[Wanuri Kahiu,Lili Reinhart,Danny Ramirez,Aisha Dee,Jaden Tolliver]",14313
365 Days,2020,TV-MA,114,"Drama, Romance",3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","[Barbara Bialowas,Tomasz Mandes,Anna-Maria Sieklucka,Michele Morrone,Bronislaw Wroclawski,Otar Saralidze]",89071
I Used to Be Famous,2022,TV-14,104,"Comedy, Drama, Music",6.6,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.","[Eddie Sternberg,Ed Skrein,Eleanor Matsuura,Eoin Macken,Leo Long]",2633
Titanic,1997,PG-13,194,"Drama, Romance",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","[James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates]",1158746
Bridgerton,2020,TV-MA,60,"Drama, History, Romance",7.3,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","[Nicola Coughlan,Luke Thompson,Jonathan Bailey,Bessie Carter]",133119
Sherlock,2010-2017,TV-14,88,"Crime, Drama, Mystery",9.1,"A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.","[Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves]",913816
Dexter,2006-2013,TV-MA,53,"Crime, Drama, Mystery",8.7,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","[Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar]",720792
New Girl,2011-2018,TV-14,22,"Comedy, Romance",7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","[Zooey Deschanel,Jake Johnson,Max Greenfield,Hannah Simone]",221781
The Expanse,2015-2022,TV-14,60,"Drama, Mystery, Sci-Fi",8.5,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","[Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo]",151611
Purple Hearts,2022,TV-14,122,"Drama, Music, Romance",6.7,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.","[Elizabeth Allen Rosenbaum,Sofia Carson,Nicholas Galitzine,Chosen Jacobs,John Harlan Kim]",32797
The Gentlemen,2019,R,113,"Action, Comedy, Crime",7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","[Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong]",331508
The Good Doctor,2017,TV-14,41,"Drama",8.1,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","[Freddie Highmore,Hill Harper,Richard Schiff,Christina Chang]",92641
Downton Abbey,2010-2015,TV-PG,58,"Drama, Romance",8.7,"A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","[Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle]",204875
Extraordinary Attorney Woo,2022,TV-14,75,"Drama",8.9,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.","[Park Eun-bin,Kang Tae-oh,Kang Ki-young,Jeon Bae-soo]",9538
Smallville,2001-2017,TV-PG,60,"Action, Adventure, Drama",7.5,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.","[Tom Welling,Michael Rosenbaum,Allison Mack,Kristin Kreuk]",127295
Star Trek: The Next Generation,1987-1994,TV-PG,44,"Action, Adventure, Sci-Fi",8.7,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","[Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton]",119655
BoJack Horseman,2014-2020,TV-MA,25,"Animation, Comedy, Drama",8.8,"BoJack Horseman was the star of the hit television show Horsin' Around in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","[Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul]",152649
Money Heist,2017-2021,TV-MA,70,"Action, Crime, Drama",8.2,"An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","[Úrsula Corberó,Álvaro Morte,Itziar Ituño,Pedro Alonso]",469640
