title,year,certificate,duration,"genre",rating,"description",stars,votes
In Her Hands,2014,Not Rated,105,"Action, Drama, Romance",7.3,"A retired academic teacher tries to find the love of his youth after being diagnosed with Alzheimer's.","[Hakan Yonat,Belçim Bilgin,Ibrahim Celikkol,Kerem Can,Necmi Yapici]",5301
Dawn of the Croods,2019,Not Rated,127,"Action, Crime, Drama",6.3,"Welcome to LEGO City. A modern metropolis filled with the fiercest firefighters, the cream of the crop cops, and so many BLOCKHEADS. Every citizen will assemble together for the most awesomely awesome adventures.","[Ibrahim Hamdan,Jeong-beom Lee,Song Boo-gun,Park Hae-joon,Philip Hersh,Yull Jang]",2246
"Michael Bolton's Big, Sexy Valentine's Day Special",2010,Not Rated,103,"Crime, Drama, Mystery",6.6,"A mixed-race master of the sword named Erskine lives a life in disguise while seeking revenge in Edo-period Japan.","[Anurag Kashyap,Kalki Koechlin,Prashant Prakash,Naseeruddin Shah,Gulshan Devaiah]",3831
Strange Weather,2021,TV-MA,158,"Action, Crime, Drama",5.8,"Set in 2012, three years before the events of the Jurassic World movie, LEGO Jurassic World: Legend of Isla Nublar picks up where the story left off from LEGO Jurassic World: The Secret ... See full summary »","[Karthik Subbaraj,Dhanush,James Cosmo,Aishwarya Lekshmi,Joju George]",11860
Rocko's Modern Life: Static Cling,2015,PG-13,81,"Comedy, Drama",5.7,"Shy keyboardist working for S. Korean music label discovers beautiful male street singer, is transfixed, falling in love at first sight. He shows the to his boss, giving the singer a chance in the industry and a place in his heart.","[Ezna Sands,Theo Ikummaq,Dakota Johnson,Ashley Springer,André De Shields]",1717
Shakthi: The Power,2022,Not Rated,30,"Comedy, Crime",6.8,"Found is the story of an innocent teenage boy raised up in the Appalachian Mountains on a small old fashioned homestead devoid of modern conveniences and tucked away from the broader ... See full summary »","[Salvatore Ficarra,Valentino Picone,Anna Favella,Tony Sperandeo]",1027
The Adventures of Super Mario Bros. 3,2016,Not Rated,100,"Drama, Romance",5.4,"A thief expert with blowtorch is hired by a group of the Russian mob for a bank assault.","[Daniela Goggi,China Suárez,Benjamín Vicuña,Hugo Silva,Guillermina Valdés]",2473
The Titans,2018,TV-MA,45,"Documentary, Crime",7.8,"Set in the past, in which a family gets a visit from a strange little girl with a frightening prediction.","[Tim Johnson,Bridgette Balasko,Robert Frost,Dion Reed]",3745
Manny & Lo,2019,TV-MA,101,"Comedy, Drama",7.2,"10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.","[Maria Ripoll,Oscar Martínez,Inma Cuesta,Mafalda Carbonell,Nacho López]",6667
Street Food: Asia,2019,TV-Y7,22,"Animation, Short, Action",6.7,"This follows a young man who begins shrinking in size after playing a strange board, which goes largely unnoticed by his parents.","[Joe Zieja,Misty Lee,Daniel Mk Cohen,Mick Lauer]",199
The Prey,2021,Not Rated,102,"Drama, Music, Romance",6.4,"Luxury hotel. Luxury clientele. Irritable staff. A couple who might fall in love, or they might leave their relationship in its raw state - like the titular steaks.","[Do Joon Sung,Sang Lee,Kang Ye Na,Subin Park,Baek Seo-Bin]",970
Inside Bill's Brain: Decoding Bill Gates,2020,Not Rated,112,"Drama, Family",6,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.","[David Alford,Joseph Stam,Wendy Mitchell Piper,Ryan Henderson,Elijah Bullen]",181
Barbie: It Takes Two,2016,Not Rated,105,"Action, Adventure, Crime",5.6,"In Jerusalem 1986, a 14-year-old boy shoots his family point-blank in their beds. Yet questions persist. In this docuseries, insiders come forward.","[Iñaki Dorronsoro,Alain Hernández,Javier Gutiérrez,Alba Galocha,Itziar Atienza]",1909
Fastest Car,2016,TV-G,84,"Drama, Family, Fantasy",5.9,"A genetic professor wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.","[Christie Will Wolf,Lacey Chabert,Paul Greene,Andrea Brooks,Colleen Wheeler]",4787
Savage Dog,2019,Not Rated,83,"Drama, Horror, Mystery",6,"The last days in the life of legendary Hollywood actor Errol Flynn.","[Emir Ezwan,Farah Ahmad,Mhia Farhana,Harith Haziq,June Lojong]",847
Guns & Gulaabs,2021,TV-Y,7,"Animation, Short, Adventure",5.9,"A woman, whose husband disappears, joins the National Assembly and teams up with a detective in her search for the truth. The two of them work together to break through the silence and lies that people spill to protect their own interests.","[Liam Mitchell,Dee Bradley Baker,Liz Burnette,Meaghan Davies]",174
El Hijo,2021,TV-MA,27,"Action, Comedy, Drama",5.7,"Brazilian comic Rodrigo Marques discusses a particularly crazy trip to a famous archipelago, his life traumas and more in this stand-up special.","[Giuseppe Dave Seke,Haroun Fall,Beatrice Grannò,Dylan Magon]",1326
Juuni Taisen,2020,Not Rated,126,"Drama, Thriller",6.8,"A former con man must be back to his old habits to save his older brother and niece from his ex boss and mentor.","[Tatsushi Ômori,Masami Nagasawa,Sadao Abe,Halo Asada,Sho Gunji]",2900
DNA,2013,Not Rated,89,"Comedy, Drama, Romance",6.1,"The story of twin brothers who separated at birth but grew up to be supreme martial artists. Raised to take revenge on each other they soon find themselves becoming good friends. Together ... See full summary »","[Jakob Lass,Lana Cooper,Franz Rogowski,Kerstin Abendroth,Daniel Alznauer]",2115
Hate Story 3,2018,TV-MA,69,"Documentary, Comedy",8.1,"Kathy leaves the newspaper business to marry homicide detective Bill but is frustrated by his lack of ambition and the banality of life in the suburbs. Her drive to advance Bill's career soon takes her down a dangerous path.","[Jon Olb,Madeleine Parry,Hannah Gadsby]",12529
Brother,2020-2021,Not Rated,141,"Documentary, Crime, Mystery",5.2,"In this multigenerational drama, a Taiwanese factory worker leaves his homeland to seek opportunity in America, where he struggles to find connection while balancing family and new-found responsibilities.","[Avi Samuel,Yossi Arnon,Yossi Cohen,Haim Siani]",1551
The Disappearance of Madeleine McCann,2016,Not Rated,60,"Action, Crime, Drama",8.2,"After leaving the military, Hassan returns home to help his sister settle a debt to the local gang boss. To do so they must team up to fight the gangster's son and daughter in the ring.","[Erdal Besikçioglu,Yasemin Kay Allen,Melis Birkan,Saygin Soysal]",4365
Moment at Eighteen,2013,R,94,"Biography, Drama, Romance",5.7,"In the months following the unsolved murder of 6-year-old beauty queen JonBenet Ramsey, responses were elicited from her Colorado hometown community, creating a work of art from the collective memories and mythologies the crime inspired.","[Richard Glatzer,Wash Westmoreland,John Hudson Messerall,Brian Bascle,Daniel J. Clancy,Kelly ONeal]",2278
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2019,Not Rated,60,"Drama, Mystery, Thriller",7,"United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.","[Lee Min-ki,Yoo-Young Lee,Lee Joon-hyuk,Kim Yong Ji]",397
This Is a Robbery: The World's Greatest Art Heist,2018,Not Rated,60,"Crime, Drama",7,"A love story of a cold city scholar Gyun Woo, who's known as Joseon's national treasure, and the sassy princess Hye Myung in a Joseon Dynasty era.","[Claudio Amendola,Miguel Gobbo Diaz,Rosa Diletta Rossi,Margherita Vicario]",983
My Name Is Vendetta,2022,Not Rated,75,"Comedy",5.5,"Set in Joseon dynasty, it tells the story of a young gourmet who unintentionally becomes a royal inspector and a divorced woman who rushes to find happiness, as they team up to investigate and defeat corrupt politicians.","[Fabio Ock,Rodrigo Marques]",46
Fate/stay night [Heaven's Feel] II. lost butterfly,2016,PG-13,105,"Action, Adventure, Crime",5.9,"A band of students comes to celebrate the New Year in an old manor house isolated from everything. But soon after their arrival, strange events disrupt the atmosphere, before the party turns squarely to the nightmare.","[Kike Maíllo,Mario Casas,Luis Tosar,José Sacristán,Claudia Canal]",3288
